Card Name,Type,Mana Cost,Color Identity,Powep,Toughness,Abilities/Effects,Rarity,Set/Edition,Scryfall ID
Finch Formation,Creature — Bird Scout,{2}{U},['U'],2,2,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
When this creature enters, target creature you control gains flying until end of turn.",common,blb,1c671eab-d1ef-4d79-94eb-8b85f0d18699
Gossip's Talent,Enchantment — Class,{1}{U},['U'],,,"(Gain the next level as a sorcery to add its ability.)
Whenever a creature you control enters, surveil 1.
{1}{U}: Level 2
Whenever you attack, target attacking creature with power 3 or less can't be blocked this turn.
{3}{U}: Level 3
Whenever a creature you control deals combat damage to a player, you may exile it, then return it to the battlefield under its owner's control.",uncommon,blb,b299889a-03d6-4659-b0e1-f0830842e40f
Lightshell Duo,Creature — Rat Otter,{3}{U},['U'],3,4,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Lightshell Duo enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,blb,2f00c834-b4a9-45b8-bb3f-22c2a42314a0
Mind Spiral,Sorcery,{4}{U},['U'],,,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Target player draws three cards. If the gift was promised, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",common,blb,7e24fe6a-607b-49b8-9fca-cecb1e40de7f
Nightwhorl Hermit,Creature — Rat Rogue,{2}{U},['U'],1,4,"Vigilance
Threshold — As long as seven or more cards are in your graveyard, Nightwhorl Hermit gets +1/+0 and can't be blocked.",common,blb,0928e04f-2568-41e8-b603-7a25cf5f94d0
Pearl of Wisdom,Sorcery,{2}{U},['U'],,,"This spell costs {1} less to cast if you control an Otter.
Draw two cards.",common,blb,13cb9575-1138-4f99-8e90-0eaf00bdf4a1
Portent of Calamity,Sorcery,{X}{U},['U'],,,"Reveal the top X cards of your library. For each card type, you may exile a card of that type from among them. Put the rest into your graveyard. You may cast a spell from among the exiled cards without paying its mana cost if you exiled four or more cards this way. Then put the rest of the exiled cards into your hand.",rare,blb,8599e2dd-9164-4da3-814f-adccef3b9497
Run Away Together,Instant,{1}{U},['U'],,,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,common,blb,7cb7ec70-a5a4-4188-ba1a-e88b81bdbad0
Shore Up,Instant,{U},['U'],,,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it. (It can't be the target of spells or abilities your opponents control.),common,blb,4dc3b49e-3674-494c-bdea-4374cefd10f4
Shoreline Looter,Creature — Rat Rogue,{1}{U},['U'],1,1,"Shoreline Looter can't be blocked.
Threshold — Whenever Shoreline Looter deals combat damage to a player, draw a card. Then discard a card unless seven or more cards are in your graveyard.",uncommon,blb,d5bf8cf0-419a-4dc9-9342-aad55c1af05a
Skyskipper Duo,Creature — Bird Frog,{4}{U},['U'],3,3,"Flying
When Skyskipper Duo enters, exile up to one other target creature you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",common,blb,d6844bad-ffbe-4c6e-b438-08562eccea52
Spellgyre,Instant,{2}{U}{U},['U'],,,"Choose one —
• Counter target spell.
• Surveil 2, then draw two cards. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",uncommon,blb,f6f6620a-1d40-429d-9a0c-aaeb62adaa71
Splash Portal,Sorcery,{U},['U'],,,"Exile target creature you control, then return it to the battlefield under its owner's control. If that creature is a Bird, Frog, Otter, or Rat, draw a card.",uncommon,blb,adbaa356-28ba-487f-930a-a957d9960ab0
Thought Shucker,Creature — Rat Rogue,{1}{U},['U'],1,3,Threshold — {1}{U}: Put a +1/+1 counter on Thought Shucker and draw a card. Activate only if seven or more cards are in your graveyard and only once.,common,blb,44b0d83b-cc41-4f82-892c-ef6d3293228a
Thundertrap Trainer,Creature — Otter Wizard,{1}{U},['U'],1,2,"Offspring {4} (You may pay an additional {4} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",rare,blb,9cf3af94-b7c8-415c-a5a1-d89967fd0bba
Waterspout Warden,Creature — Frog Soldier,{2}{U},['U'],3,2,"Whenever Waterspout Warden attacks, if another creature entered the battlefield under your control this turn, Waterspout Warden gains flying until end of turn.",common,blb,35898b39-98e2-405b-8f18-0e054bd2c29e
Agate-Blade Assassin,Creature — Lizard Assassin,{1}{B},['B'],1,3,"Whenever Agate-Blade Assassin attacks, defending player loses 1 life and you gain 1 life.",common,blb,39ebb84a-1c52-4b07-9bd0-b360523b3a5b
Bonebind Orator,Creature — Squirrel Warlock Bard,{1}{B},['B'],2,2,"{3}{B}, Exile Bonebind Orator from your graveyard: Return another target creature card from your graveyard to your hand.",common,blb,faf226fa-ca09-4468-8804-87b2a7de2c66
Bonecache Overseer,Creature — Squirrel Warlock,{B},['B'],1,1,"{T}, Pay 1 life: Draw a card. Activate only if three or more cards left your graveyard this turn or if you've sacrificed a Food this turn.",uncommon,blb,82defb87-237f-4b77-9673-5bf00607148f
Cruelclaw's Heist,Sorcery,{B}{B},['B'],,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Target opponent reveals their hand. You choose a nonland card from it. Exile that card. If the gift was promised, you may cast that card for as long as it remains exiled, and mana of any type can be spent to cast it.",rare,blb,cab4539a-0157-4cbe-b50f-6e2575df74e9
Diresight,Sorcery,{2}{B},['B'],,,"Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,blb,fada29c0-5293-40a4-b36d-d073ee99e650
Early Winter,Instant,{4}{B},['B'],,,"Choose one —
• Exile target creature.
• Target opponent exiles an enchantment they control.",common,blb,5030e6ac-211d-4145-8c87-998a8351a467
Feed the Cycle,Instant,{1}{B},['B'],,,"As an additional cost to cast this spell, forage or pay {B}. (To forage, exile three cards from your graveyard or sacrifice a Food.)
Destroy target creature or planeswalker.",uncommon,blb,7e017ff8-2936-4a1b-bece-00004cfbad06
Hazel's Nocturne,Instant,{3}{B},['B'],,,Return up to two target creature cards from your graveyard to your hand. Each opponent loses 2 life and you gain 2 life.,uncommon,blb,239363df-4de8-4b64-80fc-a1f4b5c36027
Huskburster Swarm,Creature — Elemental Insect,{7}{B},['B'],6,6,"This spell costs {1} less to cast for each creature card you own in exile and in your graveyard.
Menace, deathtouch",uncommon,blb,ed2f61d7-4eb0-41c5-8a34-a0793c2abc51
Persistent Marshstalker,Creature — Rat Berserker,{1}{B},['B'],3,1,"Persistent Marshstalker gets +1/+0 for each other Rat you control.
Threshold — Whenever you attack with one or more Rats, if seven or more cards are in your graveyard, you may pay {2}{B}. If you do, return Persistent Marshstalker from your graveyard to the battlefield tapped and attacking.",uncommon,blb,8b900c71-713b-4b7e-b4be-ad9f4aa0c139
Psychic Whorl,Sorcery,{2}{B},['B'],,,"Target opponent discards two cards. Then if you control a Rat, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",common,blb,df900308-8432-4a0a-be21-17482026012b
Rottenmouth Viper,Creature — Elemental Snake,{5}{B},['B'],6,6,"As an additional cost to cast this spell, you may sacrifice any number of nonland permanents. This spell costs {1} less to cast for each permanent sacrificed this way.
Whenever Rottenmouth Viper enters or attacks, put a blight counter on it. Then for each blight counter on it, each opponent loses 4 life unless that player sacrifices a nonland permanent or discards a card.",mythic,blb,735e79b1-a3a9-4ddf-8bbc-f756c8a0452b
Ruthless Negotiation,Sorcery,{B},['B'],,,"Target opponent exiles a card from their hand. If this spell was cast from a graveyard, draw a card.
Flashback {4}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",uncommon,blb,c7f4360c-8d68-4058-b9ec-da9948cb060d
Savor,Instant,{1}{B},['B'],,,"Target creature gets -2/-2 until end of turn. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",common,blb,1397f689-dca1-4d35-864b-92c5606afb9a
Scales of Shale,Instant,{2}{B},['B'],,,"This spell costs {1} less to cast for each Lizard you control.
Target creature gets +2/+0 and gains lifelink and indestructible until end of turn.",common,blb,9ae14276-dbbd-4257-80e9-accd6c19f5b2
Sinister Monolith,Artifact,{3}{B},['B'],,,"At the beginning of combat on your turn, each opponent loses 1 life and you gain 1 life.
{T}, Pay 2 life, Sacrifice Sinister Monolith: Draw two cards. Activate only as a sorcery.",uncommon,blb,2a15e06c-2608-4e7a-a16c-d35417669d86
Stargaze,Sorcery,{X}{B}{B},['B'],,,Look at twice X cards from the top of your library. Put X cards from among them into your hand and the rest into your graveyard. You lose X life.,uncommon,blb,777fc599-8de7-44d2-8fdd-9bddf5948a0c
Starscape Cleric,Creature — Bat Cleric,{1}{B},['B'],2,1,"Offspring {2}{B} (You may pay an additional {2}{B} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
This creature can't block.
Whenever you gain life, each opponent loses 1 life.",uncommon,blb,53a938a7-0154-4350-87cb-00da24ec3824
Thornplate Intimidator,Creature — Rat Rogue,{3}{B},['B'],4,3,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, target opponent loses 3 life unless they sacrifice a nonland permanent or discard a card.",common,blb,42f66c4a-feaa-4ba6-aa56-955b43329a9e
Thought-Stalker Warlock,Creature — Lizard Warlock,{2}{B},['B'],2,2,"Menace (This creature can't be blocked except by two or more creatures.)
When Thought-Stalker Warlock enters, choose target opponent. If they lost life this turn, they reveal their hand, you choose a nonland card from it, and they discard that card. Otherwise, they discard a card.",uncommon,blb,42e80284-d489-493b-ae92-95b742d07cb3
Blacksmith's Talent,Enchantment — Class,{R},['R'],,,"(Gain the next level as a sorcery to add its ability.)
When Blacksmith's Talent enters, create a colorless Equipment artifact token named Sword with ""Equipped creature gets +1/+1"" and equip {2}.
{2}{R}: Level 2
At the beginning of combat on your turn, attach target Equipment you control to up to one target creature you control.
{3}{R}: Level 3
During your turn, equipped creatures you control have double strike and haste.",uncommon,blb,4bb318fa-481d-40a7-978e-f01b49101ae0
Agate Assault,Sorcery,{2}{R},['R'],,,"Choose one —
• Agate Assault deals 4 damage to target creature. If that creature would die this turn, exile it instead.
• Exile target artifact.",common,blb,7dd9946b-515e-4e0d-9da2-711e126e9fa6
Alania's Pathmaker,Creature — Otter Wizard,{3}{R},['R'],4,2,"When Alania's Pathmaker enters, exile the top card of your library. Until the end of your next turn, you may play that card.",common,blb,d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1
Brazen Collector,Creature — Raccoon Rogue,{1}{R},['R'],2,1,"First strike
Whenever Brazen Collector attacks, add {R}. Until end of turn, you don't lose this mana as steps and phases end.",uncommon,blb,78b55a58-c669-4dc6-aa63-5d9dff52e613
Flamecache Gecko,Creature — Lizard Warlock,{1}{R},['R'],2,2,"When Flamecache Gecko enters, if an opponent lost life this turn, add {B}{R}.
{1}{R}, Discard a card: Draw a card.",uncommon,blb,fb8e7c97-8393-41b8-bb0b-3983dcc5e7f4
Frilled Sparkshooter,Creature — Lizard Archer,{3}{R},['R'],3,3,"Menace, reach
Frilled Sparkshooter enters with a +1/+1 counter on it if an opponent lost life this turn.",common,blb,674bbd6d-e329-42cf-963d-88d1ce8fe51e
Heartfire Hero,Creature — Mouse Soldier,{R},['R'],1,1,"Valiant — Whenever Heartfire Hero becomes the target of a spell or ability you control for the first time each turn, put a +1/+1 counter on it.
When Heartfire Hero dies, it deals damage equal to its power to each opponent.",uncommon,blb,48ace959-66b2-40c8-9bff-fd7ed9c99a82
Kindlespark Duo,Creature — Lizard Otter,{2}{R},['R'],1,3,"{T}: Kindlespark Duo deals 1 damage to target opponent.
Whenever you cast a noncreature spell, untap Kindlespark Duo.",common,blb,a839fba3-1b66-4dd1-bf43-9b015b44fc81
Manifold Mouse,Creature — Mouse Soldier,{1}{R},['R'],1,2,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
At the beginning of combat on your turn, target Mouse you control gains your choice of double strike or trample until end of turn.",rare,blb,db3832b5-e83f-4569-bd49-fb7b86fa2d47
Might of the Meek,Instant,{R},['R'],,,"Target creature gains trample until end of turn. It also gets +1/+0 until end of turn if you control a Mouse.
Draw a card.",common,blb,509bf254-8a2b-4dfa-9ae5-386321b35e8b
Playful Shove,Sorcery,{1}{R},['R'],,,"Playful Shove deals 1 damage to any target.
Draw a card.",uncommon,blb,07956edf-34c1-4218-9784-ddbca13e380c
Raccoon Rallier,Creature — Raccoon Bard,{1}{R},['R'],2,2,{T}: Target creature you control gains haste until end of turn. Activate only as a sorcery.,common,blb,b5b5180f-5a1c-4df8-9019-195e65a50ce3
Reptilian Recruiter,Creature — Lizard Warrior,{3}{R}{R},['R'],4,2,"Trample
When Reptilian Recruiter enters, choose target creature. If that creature's power is 2 or less or if you control another Lizard, gain control of that creature until end of turn, untap it, and it gains haste until end of turn.",uncommon,blb,81dec453-c9d7-42cb-980a-c82f82bede76
Roughshod Duo,Creature — Mouse Raccoon,{2}{R},['R'],3,2,"Trample
Whenever you expend 4, target creature you control gets +1/+1 and gains trample until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",common,blb,78cdcfb9-a247-4c2d-a098-5b57570f8cd5
Sazacap's Brew,Instant,{1}{R},['R'],,,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
As an additional cost to cast this spell, discard a card.
Target player draws two cards. If the gift was promised, target creature you control gets +2/+0 until end of turn.",common,blb,6d963080-b3ec-467d-82f7-39db6ecd6bbc
Steampath Charger,Creature — Lizard Warlock,{1}{R},['R'],2,1,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature dies, it deals 1 damage to target player.",common,blb,03bf1296-e347-4070-8c6f-5c362c2f9364
War Squeak,Enchantment — Aura,{R},['R'],,,"Enchant creature
When War Squeak enters, target creature an opponent controls can't block this turn.
Enchanted creature gets +1/+1 and has haste.",common,blb,105964a7-88b7-4340-aa66-e908189a3638
Whiskerquill Scribe,Creature — Mouse Citizen,{1}{R},['R'],2,2,"Valiant — Whenever Whiskerquill Scribe becomes the target of a spell or ability you control for the first time each turn, you may discard a card. If you do, draw a card.",common,blb,da653996-9bd4-40bd-afb4-48c7e070a269
Wildfire Howl,Sorcery,{1}{R}{R},['R'],,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Wildfire Howl deals 2 damage to each creature. If the gift was promised, instead Wildfire Howl deals 1 damage to any target and 2 damage to each creature.",uncommon,blb,7392d397-9836-4df2-944d-c930c9566811
Bakersbane Duo,Creature — Squirrel Raccoon,{1}{G},['G'],2,2,"When Bakersbane Duo enters, create a Food token.
Whenever you expend 4, Bakersbane Duo gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",common,blb,5309354f-1ff4-4fa9-9141-01ea2f7588ab
Bark-Knuckle Boxer,Creature — Raccoon Berserker,{1}{G},['G'],3,2,"Whenever you expend 4, Bark-Knuckle Boxer gains indestructible until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",uncommon,blb,582637a9-6aa0-4824-bed7-d5fc91bda35e
Bushy Bodyguard,Creature — Squirrel Warrior,{1}{G},['G'],2,1,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, you may forage. If you do, put two +1/+1 counters on it. (To forage, exile three cards from your graveyard or sacrifice a Food.)",uncommon,blb,0de60cf7-fa82-4b6f-9f88-6590fba5c863
Cache Grab,Instant,{1}{G},['G'],,,"Mill four cards. You may put a permanent card from among the cards milled this way into your hand. If you control a Squirrel or returned a Squirrel card to your hand this way, create a Food token. (To mill four cards, put the top four cards of your library into your graveyard. A Food token is an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",common,blb,dfd977dc-a7c3-4d0a-aca7-b25bd154e963
Clifftop Lookout,Creature — Frog Scout,{2}{G},['G'],1,2,"Reach
When Clifftop Lookout enters, reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield tapped and the rest on the bottom of your library in a random order.",uncommon,blb,662d3bcc-65f3-4c69-8ea1-446870a1193d
Druid of the Spade,Creature — Rabbit Druid,{2}{G},['G'],2,3,"As long as you control a token, Druid of the Spade gets +2/+0 and has trample.",common,blb,6b485cf7-bad0-4824-9ba7-cb112ce4769f
For the Common Good,Sorcery,{X}{X}{G},['G'],,,Create X tokens that are copies of target token you control. Then tokens you control gain indestructible until your next turn. You gain 1 life for each token you control.,rare,blb,3ec72a27-b622-47d7-bdf3-970ccaef0d2a
Heaped Harvest,Artifact — Food,{2}{G},['G'],,,"When Heaped Harvest enters and when you sacrifice it, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{2}, {T}, Sacrifice Heaped Harvest: You gain 3 life.",common,blb,3b5349db-0e0a-4b15-886e-0db403ef49cb
Hivespine Wolverine,Creature — Elemental Wolverine,{3}{G}{G},['G'],5,4,"When Hivespine Wolverine enters, choose one —
• Put a +1/+1 counter on target creature you control.
• Hivespine Wolverine fights target creature token.
• Destroy target artifact or enchantment.",uncommon,blb,821970a3-a291-4fe9-bb13-dfc54f9c3caf
Hunter's Talent,Enchantment — Class,{1}{G},['G'],,,"(Gain the next level as a sorcery to add its ability.)
When Hunter's Talent enters, target creature you control deals damage equal to its power to target creature you don't control.
{1}{G}: Level 2
Whenever you attack, target attacking creature gets +1/+0 and gains trample until end of turn.
{3}{G}: Level 3
At the beginning of your end step, if you control a creature with power 4 or greater, draw a card.",uncommon,blb,e9a31863-9649-4a4f-99e4-c93729938bd7
Pawpatch Formation,Instant,{1}{G},['G'],,,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Draw a card. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",uncommon,blb,b82c20ad-0f69-4822-ae76-770832cccdf7
Peerless Recycling,Instant,{1}{G},['G'],,,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return target permanent card from your graveyard to your hand. If the gift was promised, instead return two target permanent cards from your graveyard to your hand.",uncommon,blb,5f72466c-505b-4371-9366-0fde525a37e6
Rust-Shield Rampager,Creature — Raccoon Warrior,{3}{G},['G'],4,4,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
This creature can't be blocked by creatures with power 2 or less.",common,blb,c96b01f5-83de-4237-a68d-f946c53e31a6
Season of Gathering,Sorcery,{4}{G}{G},['G'],,,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Put a +1/+1 counter on a creature you control. It gains vigilance and trample until end of turn.
{P}{P} — Choose artifact or enchantment. Destroy all permanents of the chosen type.
{P}{P}{P} — Draw cards equal to the greatest power among creatures you control.",mythic,blb,71dd3c27-e0d5-434e-a0f3-4a95245e21c2
Stickytongue Sentinel,Creature — Frog Warrior,{2}{G},['G'],3,3,"Reach
When Stickytongue Sentinel enters, return up to one other target permanent you control to its owner's hand.",common,blb,b5fa9651-b217-4f93-9c46-9bdb11feedcb
Sunshower Druid,Creature — Frog Druid,{G},['G'],0,2,"When Sunshower Druid enters, put a +1/+1 counter on target creature and you gain 1 life.",common,blb,7740abc5-54e1-478d-966e-0fa64e727995
Thornvault Forager,Creature — Squirrel Ranger,{1}{G},['G'],2,2,"{T}: Add {G}.
{T}, Forage: Add two mana in any combination of colors. (To forage, exile three cards from your graveyard or sacrifice a Food.)
{3}{G}, {T}: Search your library for a Squirrel card, reveal it, put it into your hand, then shuffle.",rare,blb,8c2d6b02-a453-40f9-992a-5c5542987cfb
Three Tree Rootweaver,Creature — Mole Druid,{1}{G},['G'],1,3,{T}: Add one mana of any color.,common,blb,d1ab6e14-26e0-4174-b5c6-bc0f5c26b177
Treeguard Duo,Creature — Frog Rabbit,{3}{G},['G'],3,4,"When Treeguard Duo enters, until end of turn, target creature you control gains vigilance and gets +X/+X, where X is the number of creatures you control.",common,blb,89c8456e-c971-42b7-abf3-ff5ae1320abe
Valley Mightcaller,Creature — Frog Warrior,{G},['G'],1,1,"Trample
Whenever another Frog, Rabbit, Raccoon, or Squirrel you control enters, put a +1/+1 counter on Valley Mightcaller.",rare,blb,7256451f-0122-452a-88e8-0fb0f6bea3f3
Burrowguard Mentor,Creature — Rabbit Soldier,{G}{W},"['G', 'W']",*,*,"Trample
Burrowguard Mentor's power and toughness are each equal to the number of creatures you control.",uncommon,blb,87138ace-3594-499e-bad5-ec76148613ea
Cindering Cutthroat,Creature — Lizard Assassin,{2}{B/R},"['B', 'R']",3,2,"Cindering Cutthroat enters with a +1/+1 counter on it if an opponent lost life this turn.
{1}{B/R}: Cindering Cutthroat gains menace until end of turn. (It can't be blocked except by two or more creatures.)",common,blb,b2ea10dd-21ea-4622-be27-79d03a802b85
Corpseberry Cultivator,Creature — Squirrel Warlock,{1}{B/G}{B/G},"['B', 'G']",2,3,"At the beginning of combat on your turn, you may forage. (Exile three cards from your graveyard or sacrifice a Food.)
Whenever you forage, put a +1/+1 counter on Corpseberry Cultivator.",common,blb,c911a759-ed7b-452b-88a3-663478357610
"Finneas, Ace Archer",Legendary Creature — Rabbit Archer,{G}{W},"['G', 'W']",2,2,"Vigilance, reach
Whenever Finneas, Ace Archer attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card.",rare,blb,0dee197d-c313-4364-b52c-f83d5f579bc3
Fireglass Mentor,Creature — Lizard Warlock,{B}{R},"['B', 'R']",2,1,"At the beginning of your second main phase, if an opponent lost life this turn, exile the top two cards of your library. Choose one of them. Until end of turn, you may play that card.",uncommon,blb,b78fbaa3-c580-4290-9c28-b74169aab2fc
"Gev, Scaled Scorch",Legendary Creature — Lizard Mercenary,{B}{R},"['B', 'R']",3,2,"Ward—Pay 2 life.
Other creatures you control enter with an additional +1/+1 counter on them for each opponent who lost life this turn.
Whenever you cast a Lizard spell, Gev, Scaled Scorch deals 1 damage to target opponent.",rare,blb,131ea976-289e-4f32-896d-27bbfd423ba9
Head of the Homestead,Creature — Rabbit Citizen,{3}{G/W}{G/W},"['G', 'W']",3,2,"When Head of the Homestead enters, create two 1/1 white Rabbit creature tokens.",common,blb,2fc20157-edd3-484d-8864-925c071c0551
Lilysplash Mentor,Creature — Frog Druid,{2}{G}{U},"['G', 'U']",4,4,"Reach
{1}{G}{U}: Exile another target creature you control, then return it to the battlefield under its owner's control with a +1/+1 counter on it. Activate only as a sorcery.",uncommon,blb,64de7b1f-a03e-4407-91f1-e108a2f26735
Mind Drill Assailant,Creature — Rat Warlock,{2}{U/B}{U/B},"['B', 'U']",2,5,"Threshold — As long as seven or more cards are in your graveyard, Mind Drill Assailant gets +3/+0.
{2}{U/B}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",common,blb,507ba708-ca9b-453e-b4c2-23b6650eb5a8
Moonrise Cleric,Creature — Bat Cleric,{1}{W/B}{W/B},"['B', 'W']",2,3,"Flying
Whenever Moonrise Cleric attacks, you gain 1 life.",common,blb,35f2a71f-31e8-4b51-9dd4-51a5336b3b86
Plumecreed Mentor,Creature — Bird Scout,{1}{W}{U},"['U', 'W']",2,3,"Flying
Whenever Plumecreed Mentor or another creature you control with flying enters, put a +1/+1 counter on target creature you control without flying.",uncommon,blb,b1aa988f-547e-449a-9f1a-296c01d68d96
Pond Prophet,Creature — Frog Advisor,{G/U}{G/U},"['G', 'U']",1,1,"When Pond Prophet enters, draw a card.",common,blb,fb959e74-61ea-453d-bb9f-ad0183c0e1b1
Seedpod Squire,Creature — Bird Scout,{3}{W/U},"['U', 'W']",3,3,"Flying
Whenever Seedpod Squire attacks, target creature you control without flying gets +1/+1 until end of turn.",common,blb,f3684577-51ce-490e-9b59-b19c733be466
Stormcatch Mentor,Creature — Otter Wizard,{U}{R},"['R', 'U']",1,1,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Instant and sorcery spells you cast cost {1} less to cast.",uncommon,blb,99754055-6d67-4fde-aff3-41f6af6ea764
Veteran Guardmouse,Creature — Mouse Soldier,{3}{R/W},"['R', 'W']",3,4,"Valiant — Whenever Veteran Guardmouse becomes the target of a spell or ability you control for the first time each turn, it gets +1/+0 and gains first strike until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",common,blb,3db43c46-b616-4ef8-80ed-0fab345ab3d0
Vinereap Mentor,Creature — Squirrel Druid,{B}{G},"['B', 'G']",3,2,"When Vinereap Mentor enters or dies, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",uncommon,blb,29b615ba-45c4-42a1-8525-1535f0b55300
Wandertale Mentor,Creature — Raccoon Bard,{R}{G},"['G', 'R']",2,2,"Whenever you expend 4, put a +1/+1 counter on Wandertale Mentor. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)
{T}: Add {R} or {G}.",uncommon,blb,8c399a55-d02e-41ed-b827-8784b738c118
Barkform Harvester,Artifact Creature — Shapeshifter,{3},[],2,3,"Changeling (This card is every creature type.)
Reach
{2}: Put target card from your graveyard on the bottom of your library.",common,blb,f77049a6-0f22-415b-bc89-20bcb32accf6
Bumbleflower's Sharepot,Artifact,{2},[],,,"When Bumbleflower's Sharepot enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
{5}, {T}, Sacrifice Bumbleflower's Sharepot: Destroy target nonland permanent. Activate only as a sorcery.",common,blb,5f0affd5-5dcd-4dd1-a694-37a9aedf4084
Fountainport Bell,Artifact,{1},[],,,"When Fountainport Bell enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.
{1}, Sacrifice Fountainport Bell: Draw a card.",common,blb,a5c94bc0-a49d-451b-8e8d-64d46b8b8603
Heirloom Epic,Artifact,{1},[],,,"{4}, {T}: Draw a card. For each mana in this ability's activation cost, you may tap an untapped creature you control rather than pay that mana. Activate only as a sorcery.",uncommon,blb,7839ce48-0175-494a-ab89-9bdfb7a50cb1
Patchwork Banner,Artifact,{3},[],,,"As Patchwork Banner enters, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{T}: Add one mana of any color.",uncommon,blb,a8a982c8-bc08-44ba-b3ed-9e4b124615d6
Starforged Sword,Artifact — Equipment,{4},[],,,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, when it enters, they create a tapped 1/1 blue Fish creature token.)
When Starforged Sword enters, if the gift was promised, attach Starforged Sword to target creature you control.
Equipped creature gets +3/+3 and loses flying.
Equip {3}",uncommon,blb,c23d8e96-b972-4c6c-b0c4-b6627621f048
Tangle Tumbler,Artifact — Vehicle,{3},[],6,6,"Vigilance
{3}, {T}: Put a +1/+1 counter on target creature.
Tap two untapped tokens you control: Tangle Tumbler becomes an artifact creature until end of turn.",uncommon,blb,258ef349-5042-4992-bae9-9f8f54b55db0
Three Tree Mascot,Artifact Creature — Shapeshifter,{2},[],2,1,"Changeling (This card is every creature type.)
{1}: Add one mana of any color. Activate only once each turn.",common,blb,aaced75b-6e07-457c-8ea2-f74d99710d15
Lilypad Village,Land,,[],,,"{T}: Add {C}.
{T}: Add {U}. Spend this mana only to cast a creature spell.
{U}, {T}: Surveil 2. Activate only if a Bird, Frog, Otter, or Rat entered the battlefield under your control this turn.",uncommon,blb,7e95a7cc-ed77-4ca4-80db-61c0fc68bf50
